MODULOS NECESARIOS PARA INSTALAR NODUX PARA EMPRESAS CON FACTURACION ELECTRONICA,,
,,
MODULE,COMPANY,
account,core,
account_credit_limit,core,
account_invoice,core,
account_invoice_discount,trytonspain,
account_invoice_stock,core,
account_payment,core,
account_product,core,
account_statement,core,
bank,core,
carrier,core,Necesario para guías de remisión con facturación electrónica
company,core,
country,core,
currency,core,
nodux_account_ats,nodux,
nodux_account_bank_reconciliation,nodux,
nodux_account_debit_note_ec,nodux,
nodux_account_delivery_note,nodux,
nodux_account_ec,nodux,
nodux_account_electronic_invoice_ec,nodux,Necesario para facturación electrónica
nodux_account_invoice_multisequence,nodux,
nodux_account_niif_ec,nodux,
nodux_account_payment,nodux,
nodux_account_postdated_check,nodux,
nodux_account_statement,nodux,
nodux_account_voucher_ec,nodux,
nodux_account_voucher_transfer_ec,nodux,
nodux_account_withholding_in_ec,nodux,
nodux_account_withholding_out_ec,nodux,
nodux_party_ec,nodux,
nodux_product_barcode,nodux,Por lo pronto lo va a utilizar Toners
nodux_product_price_list_percentage,nodux,Para que calcule la fórmula de lista de precio de acuerdo al porcentaje utilizado
nodux_purchase_default_warehouse,nodux,Necesario para cuando haya más de 1 bodega
nodux_purchase_shipment,nodux,Necesario para que se genere automáticamente la guía de remisión del proveedor.
nodux_reports,nodux,
nodux_sale_credit_limit,nodux,Por lo pronto lo va a utilizar Toners
nodux_sale_payment,nodux,
nodux_sale_payment_term,nodux,Por lo pronto lo va a utilizar Toners
nodux_sale_pos,nodux,
nodux_sale_pos_discount,nodux,
nodux_sale_pos_electronic_invoice_ec,nodux,Necesario para facturación electrónica
nodux_stock_remission_guide,nodux,
party,core,
product,core,
product_cost_history,core,
product_price_list,core,
product_price_list_category,zikzakmedia,
purchase,core,
sale,core,
sale_credit_limit,core,
sale_discount,trytonspain,
sale_invoice_grouping,core,
sale_payment,trytonspain,
sale_pos,zikzakmedia,
sale_pos_discount,zikzakmedia,
sale_price_list,core,
sale_product_stock,zikzakmedia,
sale_product_stock_shop,zikzakmedia,
sale_shop,zikzakmedia,
stock,core,
stock_lot,core,
stock_split,core,Por lo pronto lo va a utilizar Toners
stock_supply,core,
